[DEBUG][CDATA][HYBRID] originalContent='测试', hadCdata=false, newValue='更新'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue='Updated'
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][HYBRID] originalContent='Test', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Alpha', newValue='Updated'
[DEBUG][CDATA] originalContent='Alpha', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Test', newValue='Updated'
[DEBUG][CDATA] originalContent='Test', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][HYBRID] originalContent='Banana', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue=''
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue=''
[DEBUG][CDATA][HYBRID] originalContent='测试一 Chinese Content 测试二', hadCdata=false, newValue='更新 Updated Mixed Content'
[DEBUG][CDATA][HYBRID] originalContent='特殊字符：①②③④⑤⑥⑦⑧⑨⑩', hadCdata=false, newValue='新的特殊字符：⑴⑵⑶⑷⑸'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue='NewValue'
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue='NewValue'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='旧值', newValue='新值'
[DEBUG][CDATA] originalContent='旧值', hadCdata=false, newValue='新值'
[DEBUG][CDATA][HYBRID] originalContent='自动检测测试', hadCdata=false, newValue='自动检测成功'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue='Updated'
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] WARNING: originalContent is null or empty for tag 'item', newValue='Updated'
[DEBUG][CDATA] originalContent='null', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Test', newValue='Updated'
[DEBUG][CDATA] originalContent='Test', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='child', originalContent='Text', newValue='Updated'
[DEBUG][CDATA] originalContent='Text', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue='Updated'
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue='Updated'
